product_name,category_id,category_name,supermarket_name,price_in_pounds,unit,available,brand,product_id,supermarket_id,image_url,description,dietary_restrictions,nutritional_information,no_of_ingredients,country_of_origin,is_seasonal,promotions,stock_level,delivery_options,delivery_lead_time,minimum_order_quantity,is_click_and_collect_available,Rating,number_of_reviews,is_popular,is_new,customer_tags,best_before_date,disposal_instructions,awards_won,allergens,is_organic,is_vegan,standard_delivery,fast_delivery,order_date,customer_id,customer_name,customer_email,customer_number,customer_address,order_id
Milk,102,Dairy & Eggs,M&S,6.38,ml,No,Brand B,M10038,8,https://example.com/products/M10038.jpg,Milk from California,vegan,"{'calories': 192, 'fat': 18.4641605956366, 'protein': 18.720630336214793, 'carbohydrates': 35.519418935679234}",5,France,FALSE,20% off,0,click & collect,4,3,TRUE,4.8,260,FALSE,TRUE,fresh,01-04-2024,Please recycle the packaging.,,dairy,TRUE,TRUE,3,1,20-02-2024,330,zJQqVUmqGReSPK,zjqqvumqgrespk_4397@example.com,3868043692,"160 QJCjkr St. Apt #6, Town 61447",O49
Tomatoes,101,Fruits & Vegetables,Asda,10.51,L,Yes,Brand A,A10039,3,https://example.com/products/A10039.jpg,Tomatoes from local farms,,"{'calories': 314, 'fat': 15.308629848962065, 'protein': 2.5559105044710706, 'carbohydrates': 8.551066231380444}",5,USA,FALSE,2 for £6,17,click & collect,2,2,FALSE,3.8,86,TRUE,TRUE,seasonal,02-04-2024,Please recycle the packaging.,Great Taste Award,soy,TRUE,FALSE,3,1,01-02-2024,5803,veCuVVRgakdkDCcrBLw,vecuvvrgakdkdccrblw_7988@example.com,7045086437,"314 uvYlJda Blvd. Apt #4, Town 87780",O50
Toilet Paper,108,Household,Lidl,3.72,kg,No,Brand A,L10040,7,https://example.com/products/L10040.jpg,Toilet Paper from California,nut-free,"{'calories': 203, 'fat': 4.50016039855745, 'protein': 9.531836444812146, 'carbohydrates': 23.250049316299815}",3,UK,TRUE,2 for £6,0,"click & collect,home delivery",5,3,TRUE,4.3,588,FALSE,FALSE,affordable,03-04-2024,Please recycle the packaging.,,gluten,FALSE,TRUE,3,1,04-02-2024,8364,htdLKkHaDH,htdlkkhadh_6934@example.com,3552525972,"612 rGHde Ave. Apt #27, City 25093",O51
Water,107,Drinks,M&S,13.64,kg,Yes,Brand B,M10041,8,https://example.com/products/M10041.jpg,Water from Spain,lactose-free,"{'calories': 180, 'fat': 18.175745452879724, 'protein': 8.275704319096631, 'carbohydrates': 94.38721071480455}",4,China,TRUE,,97,home delivery,3,1,TRUE,4.8,524,FALSE,FALSE,fresh,11-04-2024,Please recycle the packaging.,,soy,TRUE,TRUE,3,1,03-02-2024,1150,JyBSrLJxWNTkes,jybsrljxwntkes_1555@example.com,8714111346,"378 coYXuTLH Blvd. Apt #13, Town 22610",O52
Butter,102,Dairy & Eggs,Asda,9.31,L,No,Brand B,A10042,3,https://example.com/products/A10042.jpg,Butter from Italy,,"{'calories': 442, 'fat': 28.588021761795986, 'protein': 0.49986428398810734, 'carbohydrates': 12.487221616068833}",4,Germany,FALSE,,0,home delivery,1,1,FALSE,3.8,340,FALSE,TRUE,organic,24-03-2024,Please recycle the packaging.,,dairy,TRUE,TRUE,3,1,20-02-2024,2571,FzAnqcVzBAdsFmZB,fzanqcvzbadsfmzb_5868@example.com,3417274330,"454 RCaTvt St. Apt #33, City 99009",O53
Rice,105,Cereal & Bread,Morrisons,12.57,ml,Yes,Supermarket Own Brand,M10043,4,https://example.com/products/M10043.jpg,Rice from Spain,vegan,"{'calories': 317, 'fat': 0.743002285899198, 'protein': 19.835598385430202, 'carbohydrates': 27.076429505799116}",3,UK,FALSE,20% off,43,home delivery,2,4,TRUE,4.2,842,TRUE,TRUE,seasonal,26-03-2024,Please recycle the packaging.,,nuts,TRUE,FALSE,3,1,22-02-2024,3805,CSgXUWlBcbsFYMXYieh,csgxuwlbcbsfymxyieh_9437@example.com,9464827212,"623 tvfTmu St. Apt #58, Town 90163",O54
Bread,105,Cereal & Bread,Asda,5.27,kg,No,Brand B,A10044,3,https://example.com/products/A10044.jpg,Bread from Spain,lactose-free,"{'calories': 322, 'fat': 19.342397734500512, 'protein': 10.677279152799109, 'carbohydrates': 50.00244007026134}",2,Germany,TRUE,Buy one get one free,0,"click & collect,home delivery",3,4,FALSE,3.8,670,FALSE,FALSE,family-friendly,23-03-2024,Please recycle the packaging.,Best Product of the Year,gluten,FALSE,FALSE,3,1,07-02-2024,356,FdJXcBudjN,fdjxcbudjn_3809@example.com,1747180736,"588 NFhxuwdToF St. Apt #51, Town 75509",O55
Bread,105,Cereal & Bread,Asda,0.94,g,No,Brand A,A10045,3,https://example.com/products/A10045.jpg,Bread from Italy,,"{'calories': 321, 'fat': 11.567620050205315, 'protein': 0.9935197053645872, 'carbohydrates': 67.67778612474625}",4,UK,TRUE,,0,home delivery,5,2,FALSE,3.8,484,FALSE,FALSE,healthy,06-04-2024,Please recycle the packaging.,Best Product of the Year,nuts,FALSE,FALSE,3,1,02-02-2024,1585,QygZKFsQNiDMT,qygzkfsqnidmt_4297@example.com,5268509077,"145 mkvpHeq St. Apt #76, City 63546",O56
Biscuits,106,Snacks & Sweets,Sainsbury's,14.21,kg,Yes,Brand B,S10046,2,https://example.com/products/S10046.jpg,Biscuits from Ecuador,,"{'calories': 101, 'fat': 23.988555924171614, 'protein': 1.8120952685357827, 'carbohydrates': 87.43416433348197}",1,Spain,FALSE,2 for £6,45,"click & collect,home delivery",5,4,TRUE,4.7,843,TRUE,FALSE,organic,09-04-2024,Please recycle the packaging.,Best Product of the Year,soy,TRUE,FALSE,3,1,22-02-2024,1414,RxVYDMkqMZFYsKzj,rxvydmkqmzfyskzj_3162@example.com,3317923246,"336 oVxpj St. Apt #3, City 50395",O57
Water,107,Drinks,Aldi,2.66,g,No,Brand A,A10047,6,https://example.com/products/A10047.jpg,Water from Ecuador,,"{'calories': 245, 'fat': 18.423543700727766, 'protein': 5.070589644224293, 'carbohydrates': 27.241985445339512}",3,China,FALSE,,0,home delivery,5,2,FALSE,4.6,859,FALSE,TRUE,fresh,14-04-2024,Please recycle the packaging.,Best Product of the Year,gluten,TRUE,TRUE,3,1,14-02-2024,2079,nuBUMNWDXb,nubumnwdxb_4364@example.com,2042761967,"458 MjWKGb Ave. Apt #47, City 62074",O58
Rice,105,Cereal & Bread,Morrisons,14.62,L,Yes,Brand A,M10048,4,https://example.com/products/M10048.jpg,Rice from Ecuador,nut-free,"{'calories': 206, 'fat': 27.377795092579582, 'protein': 10.34136474128978, 'carbohydrates': 83.58211394308486}",2,China,TRUE,,84,click & collect,4,5,TRUE,4.2,714,TRUE,FALSE,seasonal,21-03-2024,Please recycle the packaging.,,gluten,TRUE,TRUE,3,1,10-02-2024,8474,DkgbVxMlvPTGcGu,dkgbvxmlvptgcgu_9551@example.com,1062334222,"328 EkbcS St. Apt #36, City 74696",O59
Cola,107,Drinks,Aldi,14.11,ml,No,Brand B,A10049,6,https://example.com/products/A10049.jpg,Cola from California,nut-free,"{'calories': 300, 'fat': 18.617342666571783, 'protein': 9.45602743665966, 'carbohydrates': 43.11087044281994}",4,Italy,FALSE,,0,"click & collect,home delivery",1,4,FALSE,4.6,516,TRUE,TRUE,healthy,10-04-2024,Please recycle the packaging.,,dairy,FALSE,TRUE,3,1,26-02-2024,9912,dMpzmsfRWu,dmpzmsfrwu_7270@example.com,4763035498,"867 wzEgucS St. Apt #62, Town 90104",O60
Juice,107,Drinks,Lidl,10.2,kg,No,Brand A,L10050,7,https://example.com/products/L10050.jpg,Juice from Italy,nut-free,"{'calories': 329, 'fat': 19.80976268719291, 'protein': 10.668917267797235, 'carbohydrates': 16.36621015184383}",3,Italy,TRUE,,0,click & collect,5,1,TRUE,4.3,987,TRUE,FALSE,healthy,02-04-2024,Please recycle the packaging.,Best Product of the Year,gluten,FALSE,FALSE,3,1,13-02-2024,4639,ObxBLBqbwKhsDKm,obxblbqbwkhsdkm_1783@example.com,7044175568,"392 IniddM Ave. Apt #98, City 39356",O61
Eggs,102,Dairy & Eggs,Aldi,5.08,g,No,Brand C,A10051,6,https://example.com/products/A10051.jpg,Eggs from California,vegan,"{'calories': 130, 'fat': 5.188307970346953, 'protein': 7.910266281390093, 'carbohydrates': 33.25894101036294}",3,USA,FALSE,Buy one get one free,0,"click & collect,home delivery",1,2,FALSE,4.6,42,FALSE,TRUE,organic,26-03-2024,Please recycle the packaging.,,nuts,TRUE,TRUE,3,1,26-02-2024,5187,HHnKbFhCKqbiLiCwN,hhnkbfhckqbilicwn_2493@example.com,5588388385,"995 fXjGP St. Apt #37, Town 18024",O62
Rice,105,Cereal & Bread,Waitrose,13.59,L,No,Brand A,W10052,5,https://example.com/products/W10052.jpg,Rice from Spain,,"{'calories': 244, 'fat': 3.451276891204574, 'protein': 18.725598939181474, 'carbohydrates': 81.99796365343282}",4,USA,FALSE,,0,home delivery,2,2,FALSE,3.9,819,FALSE,TRUE,family-friendly,08-04-2024,Please recycle the packaging.,Best Product of the Year,dairy,FALSE,FALSE,3,1,24-02-2024,2060,yvhfxLdXbZo,yvhfxldxbzo_7262@example.com,3984802858,"918 dDRxWId Blvd. Apt #38, Town 96491",O63
Tea,107,Drinks,Morrisons,12.82,ml,Yes,Brand C,M10053,4,https://example.com/products/M10053.jpg,Tea from California,,"{'calories': 225, 'fat': 20.051762044219625, 'protein': 4.768639850392853, 'carbohydrates': 0.39936177259950467}",3,Spain,FALSE,,51,click & collect,1,5,TRUE,4.2,827,FALSE,TRUE,organic,08-04-2024,Please recycle the packaging.,,gluten,TRUE,FALSE,3,1,18-02-2024,4355,EQBhtpJnAroQWKeDcSk,eqbhtpjnaroqwkedcsk_6079@example.com,4869371272,"864 Evoja St. Apt #22, Town 51240",O64
Biscuits,106,Snacks & Sweets,Morrisons,3.59,kg,Yes,Brand A,M10054,4,https://example.com/products/M10054.jpg,Biscuits from local farms,,"{'calories': 95, 'fat': 1.7348597053025427, 'protein': 18.75739791134932, 'carbohydrates': 83.04887728990255}",2,Italy,FALSE,,47,click & collect,1,4,TRUE,4.2,264,TRUE,FALSE,affordable,07-04-2024,Please recycle the packaging.,,nuts,TRUE,TRUE,3,1,11-02-2024,1199,hYKHaBQTWkdevpnLrbL,hykhabqtwkdevpnlrbl_3270@example.com,2266489660,"801 eVbloKwFh Blvd. Apt #3, City 93174",O65
Butter,102,Dairy & Eggs,Morrisons,4.23,g,Yes,Supermarket Own Brand,M10055,4,https://example.com/products/M10055.jpg,Butter from Spain,,"{'calories': 53, 'fat': 6.647276510994039, 'protein': 17.056159214886478, 'carbohydrates': 44.90953711035601}",5,Netherlands,FALSE,,60,click & collect,4,5,TRUE,4.2,324,TRUE,TRUE,healthy,10-04-2024,Please recycle the packaging.,Best Product of the Year,gluten,FALSE,TRUE,3,1,27-02-2024,3606,iujAEQRgeXaXd,iujaeqrgexaxd_4393@example.com,8830812382,"646 sHoRbdNDXO St. Apt #67, City 73384",O66
Apple,101,Fruits & Vegetables,Morrisons,7.32,g,No,Brand B,M10056,4,https://example.com/products/M10056.jpg,Apple from local farms,vegan,"{'calories': 191, 'fat': 6.266503246961582, 'protein': 3.5977861265969824, 'carbohydrates': 31.580554149411576}",5,Germany,TRUE,,0,"click & collect,home delivery",2,5,TRUE,4.2,640,TRUE,FALSE,organic,21-03-2024,Please recycle the packaging.,,nuts,FALSE,FALSE,3,1,16-02-2024,6388,JsOZYaczvSKUrTk,jsozyaczvskurtk_8801@example.com,4726622098,"847 BuYvkUNQpl Ave. Apt #14, City 74180",O67
Eggs,102,Dairy & Eggs,Asda,6.89,ml,No,Brand B,A10057,3,https://example.com/products/A10057.jpg,Eggs from Spain,,"{'calories': 58, 'fat': 3.8766462633639334, 'protein': 13.698490982894159, 'carbohydrates': 39.36215888993085}",4,China,FALSE,2 for £6,0,home delivery,4,4,FALSE,3.8,702,TRUE,TRUE,seasonal,15-04-2024,Please recycle the packaging.,,nuts,TRUE,FALSE,3,1,12-02-2024,6821,FcTXbVbGmGna,fctxbvbgmgna_7629@example.com,1347639571,"381 FxLserIh Blvd. Apt #49, Town 61988",O68
Cola,107,Drinks,Waitrose,3.44,L,Yes,Supermarket Own Brand,W10058,5,https://example.com/products/W10058.jpg,Cola from Spain,lactose-free,"{'calories': 375, 'fat': 14.917480080170073, 'protein': 1.2751209396837027, 'carbohydrates': 28.915102538606952}",4,China,FALSE,Buy one get one free,86,home delivery,2,1,FALSE,3.9,552,TRUE,TRUE,healthy,06-04-2024,Please recycle the packaging.,Great Taste Award,nuts,TRUE,TRUE,3,1,29-02-2024,8137,KoJweWOAzViJnJjzNxit,kojwewoazvijnjjznxit_4590@example.com,6069293919,"214 zWIivuy Blvd. Apt #31, City 26861",O69
Pasta,105,Cereal & Bread,Tesco,14.19,ml,Yes,Supermarket Own Brand,T10059,1,https://example.com/products/T10059.jpg,Pasta from California,,"{'calories': 115, 'fat': 22.002711883452793, 'protein': 2.5163618950502165, 'carbohydrates': 80.32129731707882}",3,China,TRUE,Buy one get one free,35,"click & collect,home delivery",3,2,TRUE,4.5,635,FALSE,FALSE,organic,14-04-2024,Please recycle the packaging.,,gluten,TRUE,FALSE,3,1,07-02-2024,6234,wBuJmVnlIeK,wbujmvnliek_5488@example.com,5279566034,"379 VsmPFm St. Apt #80, Town 54235",O70
Toilet Paper,108,Household,Lidl,3.98,ml,Yes,Brand B,L10060,7,https://example.com/products/L10060.jpg,Toilet Paper from local farms,vegan,"{'calories': 313, 'fat': 7.023374217627538, 'protein': 15.729112992614047, 'carbohydrates': 71.77310090131583}",3,France,TRUE,,48,click & collect,1,1,TRUE,4.3,797,FALSE,TRUE,family-friendly,30-03-2024,Please recycle the packaging.,Great Taste Award,nuts,TRUE,FALSE,3,1,23-02-2024,9537,RJfUtRWIpf,rjfutrwipf_1548@example.com,605532974,"847 IRKGCvKk St. Apt #28, City 22203",O71
Tomatoes,101,Fruits & Vegetables,Morrisons,9.86,g,No,Brand C,M10061,4,https://example.com/products/M10061.jpg,Tomatoes from California,,"{'calories': 380, 'fat': 22.572880871886436, 'protein': 14.201795148079928, 'carbohydrates': 5.96653911726388}",5,China,TRUE,2 for £6,0,home delivery,3,4,TRUE,4.2,84,TRUE,FALSE,organic,29-03-2024,Please recycle the packaging.,,gluten,TRUE,FALSE,3,1,23-02-2024,5140,BRNOvHWGpSPhrPWMK,brnovhwgpsphrpwmk_2407@example.com,1402623089,"985 rtSwhF St. Apt #95, City 34584",O72
Chocolate,106,Snacks & Sweets,Morrisons,4.86,ml,Yes,Brand A,M10062,4,https://example.com/products/M10062.jpg,Chocolate from local farms,vegan,"{'calories': 185, 'fat': 16.54429141649118, 'protein': 8.42125018442928, 'carbohydrates': 32.04098747646409}",1,France,TRUE,,81,home delivery,1,5,TRUE,4.2,897,FALSE,FALSE,seasonal,14-04-2024,Please recycle the packaging.,Best Product of the Year,gluten,TRUE,FALSE,3,1,25-02-2024,3074,VCyiTtqGcoo,vcyittqgcoo_2946@example.com,1676058968,"291 pAmVkV Ave. Apt #53, Town 35461",O73
Pasta,105,Cereal & Bread,Sainsbury's,1.44,g,Yes,Brand C,S10063,2,https://example.com/products/S10063.jpg,Pasta from Italy,nut-free,"{'calories': 73, 'fat': 4.941972312284535, 'protein': 11.225940229568147, 'carbohydrates': 74.10743640282355}",2,Spain,TRUE,,20,home delivery,2,1,TRUE,4.7,18,FALSE,FALSE,seasonal,30-03-2024,Please recycle the packaging.,,dairy,TRUE,TRUE,3,1,14-02-2024,2756,IimQFVGOvZApwNjbyD,iimqfvgovzapwnjbyd_8758@example.com,8424613567,"555 UnMbptMG St. Apt #22, City 33316",O74
Tomatoes,101,Fruits & Vegetables,Tesco,8.91,ml,Yes,Brand A,T10064,1,https://example.com/products/T10064.jpg,Tomatoes from California,,"{'calories': 74, 'fat': 27.029004555446864, 'protein': 16.33398221902208, 'carbohydrates': 82.59965862288695}",5,China,FALSE,Buy one get one free,68,click & collect,1,5,TRUE,4.5,305,FALSE,TRUE,family-friendly,13-04-2024,Please recycle the packaging.,,dairy,TRUE,TRUE,3,1,20-02-2024,9856,LAbmzpzVTHylgSRj,labmzpzvthylgsrj_6076@example.com,105999417,"546 XfUTMJxet Ave. Apt #24, City 65850",O75
Chocolate,106,Snacks & Sweets,Waitrose,6.43,kg,No,Supermarket Own Brand,W10065,5,https://example.com/products/W10065.jpg,Chocolate from local farms,,"{'calories': 52, 'fat': 29.84421111924121, 'protein': 1.0951110572096212, 'carbohydrates': 77.98486401842717}",5,Spain,FALSE,,0,click & collect,5,1,FALSE,3.9,499,TRUE,TRUE,healthy,08-04-2024,Please recycle the packaging.,Great Taste Award,soy,TRUE,TRUE,3,1,11-02-2024,2882,rfDpvoqssTdQgy,rfdpvoqsstdqgy_6539@example.com,8208897558,"503 McUiqTf St. Apt #69, City 64457",O76
Water,107,Drinks,Lidl,6.06,kg,Yes,Brand C,L10066,7,https://example.com/products/L10066.jpg,Water from Ecuador,nut-free,"{'calories': 452, 'fat': 27.294220526884324, 'protein': 4.290920390905775, 'carbohydrates': 33.99108764125835}",1,France,TRUE,Buy one get one free,87,click & collect,3,4,TRUE,4.3,152,TRUE,FALSE,family-friendly,04-04-2024,Please recycle the packaging.,Great Taste Award,soy,TRUE,TRUE,3,1,27-02-2024,8763,uVsdBqNmDbLjrQNZBIdx,uvsdbqnmdbljrqnzbidx_1911@example.com,5158565609,"561 YdjZzF St. Apt #16, Town 39747",O77
Pasta,105,Cereal & Bread,Tesco,2.97,g,No,Supermarket Own Brand,T10067,1,https://example.com/products/T10067.jpg,Pasta from Italy,nut-free,"{'calories': 498, 'fat': 16.657432440730705, 'protein': 12.226075935041463, 'carbohydrates': 90.10331729814206}",2,Netherlands,TRUE,Buy one get one free,0,"click & collect,home delivery",2,3,TRUE,4.5,988,TRUE,TRUE,affordable,29-03-2024,Please recycle the packaging.,,dairy,TRUE,FALSE,3,1,23-02-2024,100,lAaEroiNrO,laaeroinro_5764@example.com,9839912382,"563 IuoAwCrA Ave. Apt #65, City 52318",O78
Apple,101,Fruits & Vegetables,M&S,3.83,L,Yes,Brand B,M10068,8,https://example.com/products/M10068.jpg,Apple from Ecuador,,"{'calories': 415, 'fat': 21.513346982998442, 'protein': 15.687940288200434, 'carbohydrates': 44.62693288118979}",2,France,FALSE,Buy one get one free,22,click & collect,1,2,TRUE,4.8,637,TRUE,FALSE,fresh,04-04-2024,Please recycle the packaging.,,dairy,FALSE,TRUE,3,1,09-02-2024,9550,lRiVKtUnQiYix,lrivktunqiyix_4992@example.com,6612458507,"357 rRznwvFNNO Ave. Apt #37, Town 97286",O79
Eggs,102,Dairy & Eggs,Aldi,11.53,g,Yes,Brand C,A10069,6,https://example.com/products/A10069.jpg,Eggs from Italy,gluten-free,"{'calories': 328, 'fat': 7.126790872705646, 'protein': 14.392683897047522, 'carbohydrates': 11.261317135802319}",3,Netherlands,TRUE,,41,"click & collect,home delivery",4,2,FALSE,4.6,218,TRUE,FALSE,family-friendly,13-04-2024,Please recycle the packaging.,,gluten,TRUE,FALSE,3,1,06-02-2024,4024,BAYuISyuRbyKQlYlle,bayuisyurbykqlylle_7551@example.com,7557669482,"892 yMLzmJp St. Apt #76, City 34111",O80
Rice,105,Cereal & Bread,Aldi,2.31,ml,No,Brand C,A10070,6,https://example.com/products/A10070.jpg,Rice from Spain,,"{'calories': 222, 'fat': 5.030585597785442, 'protein': 16.787230504738243, 'carbohydrates': 97.27665440400224}",5,Netherlands,FALSE,,0,"click & collect,home delivery",5,2,FALSE,4.6,167,FALSE,TRUE,affordable,13-04-2024,Please recycle the packaging.,Best Product of the Year,gluten,TRUE,FALSE,3,1,09-02-2024,4531,GXrMDHzBPgkldG,gxrmdhzbpgkldg_9526@example.com,8129611861,"874 SDJYijIMb Blvd. Apt #3, Town 96852",O81
Coffee,107,Drinks,Morrisons,14.54,g,No,Supermarket Own Brand,M10071,4,https://example.com/products/M10071.jpg,Coffee from Italy,,"{'calories': 457, 'fat': 29.96769759681076, 'protein': 14.061567090094387, 'carbohydrates': 75.14356152945342}",5,USA,FALSE,Buy one get one free,0,"click & collect,home delivery",5,3,TRUE,4.2,719,TRUE,FALSE,seasonal,10-04-2024,Please recycle the packaging.,Great Taste Award,soy,FALSE,FALSE,3,1,01-02-2024,8675,coJrmLnRTcyyceSKMd,cojrmlnrtcyyceskmd_4772@example.com,25721415,"501 keafTjcfzt Blvd. Apt #45, Town 57812",O82
Bread,105,Cereal & Bread,Asda,12.4,g,Yes,Brand B,A10072,3,https://example.com/products/A10072.jpg,Bread from Spain,nut-free,"{'calories': 376, 'fat': 11.29424997457604, 'protein': 14.671733900193065, 'carbohydrates': 48.95028368913557}",2,UK,TRUE,20% off,20,"click & collect,home delivery",2,3,FALSE,3.8,122,TRUE,FALSE,healthy,06-04-2024,Please recycle the packaging.,,nuts,TRUE,TRUE,3,1,17-02-2024,5432,brFvUzYUrMnDE,brfvuzyurmnde_679@example.com,6050107400,"909 DmtFsYKAB St. Apt #51, Town 93803",O83
Toothpaste,109,Health & Beauty,Waitrose,9.59,kg,Yes,Brand C,W10073,5,https://example.com/products/W10073.jpg,Toothpaste from local farms,gluten-free,"{'calories': 248, 'fat': 4.084284340860593, 'protein': 11.67568090975039, 'carbohydrates': 25.062371675301787}",2,USA,FALSE,,56,"click & collect,home delivery",2,4,FALSE,3.9,957,FALSE,TRUE,family-friendly,21-03-2024,Please recycle the packaging.,,gluten,FALSE,TRUE,3,1,20-02-2024,3045,fSlhfBCgmaTizX,fslhfbcgmatizx_9849@example.com,434915422,"288 BFldyvb Blvd. Apt #71, Town 51203",O84
Apple,101,Fruits & Vegetables,Lidl,1.09,ml,No,Brand A,L10074,7,https://example.com/products/L10074.jpg,Apple from California,,"{'calories': 361, 'fat': 17.371772433565393, 'protein': 3.9552466401565645, 'carbohydrates': 69.82920827761345}",3,Spain,TRUE,,0,click & collect,2,1,TRUE,4.3,264,FALSE,TRUE,seasonal,04-04-2024,Please recycle the packaging.,Best Product of the Year,soy,FALSE,FALSE,3,1,29-02-2024,4081,ZaEaJroJRzqEExUt,zaeajrojrzqeexut_9500@example.com,1845854588,"408 xqLEVRCPq Blvd. Apt #93, City 61812",O85
